mode,N,threads,run,seconds
omp_cuadrantes,40000,1,6,2.400319
omp_cuadrantes,40000,1,7,2.461890
omp_cuadrantes,40000,1,8,2.490021
omp_cuadrantes,40000,1,9,2.356583
omp_cuadrantes,40000,1,10,2.323713
omp_cuadrantes,40000,4,1,0.881856
omp_cuadrantes,40000,4,2,0.848173
omp_cuadrantes,40000,4,3,0.854151
omp_cuadrantes,40000,4,4,0.848554
omp_cuadrantes,40000,4,5,0.848102
omp_cuadrantes,40000,4,6,0.861157
omp_cuadrantes,40000,4,7,0.863505
omp_cuadrantes,40000,4,8,0.860577
omp_cuadrantes,40000,4,9,0.858267
omp_cuadrantes,40000,4,10,0.860612
omp_cuadrantes,40000,8,1,0.737648
omp_cuadrantes,40000,8,2,0.763646
omp_cuadrantes,40000,8,3,0.722385
omp_cuadrantes,40000,8,4,0.721521
omp_cuadrantes,40000,8,5,0.746555
omp_cuadrantes,40000,8,6,0.701244
omp_cuadrantes,40000,8,7,0.711835
omp_cuadrantes,40000,8,8,0.704709
omp_cuadrantes,40000,8,9,0.710812
omp_cuadrantes,40000,8,10,0.723455
omp_cuadrantes,40000,16,1,0.715497
omp_cuadrantes,40000,16,2,0.716841
omp_cuadrantes,40000,16,3,0.710946
omp_cuadrantes,40000,16,4,0.713019
omp_cuadrantes,40000,16,5,0.696748
omp_cuadrantes,40000,16,6,0.821980
omp_cuadrantes,40000,16,7,0.708517
omp_cuadrantes,40000,16,8,0.693673
omp_cuadrantes,40000,16,9,0.726461
omp_cuadrantes,40000,16,10,0.687556
serial,80000,1,1,9.044258
serial,80000,1,2,8.969536
serial,80000,1,3,9.066484
serial,80000,1,4,9.099719
serial,80000,1,5,9.101493
serial,80000,1,6,9.087917
serial,80000,1,7,8.990739
serial,80000,1,8,9.378160
serial,80000,1,9,9.227583
serial,80000,1,10,9.004574
omp_indivisible,80000,1,1,9.773868
omp_indivisible,80000,1,2,9.550719
omp_indivisible,80000,1,3,9.433240
omp_indivisible,80000,1,4,9.472058
omp_indivisible,80000,1,5,9.466242
omp_indivisible,80000,1,6,9.428066
omp_indivisible,80000,1,7,9.481436
omp_indivisible,80000,1,8,9.469477
omp_indivisible,80000,1,9,9.563747
omp_indivisible,80000,1,10,9.479758
omp_indivisible,80000,4,1,3.378917
omp_indivisible,80000,4,2,3.329351
omp_indivisible,80000,4,3,3.324357
omp_indivisible,80000,4,4,3.327260
